id,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
19125378,7,7,94109,37.78584015586441,-122.4142729952425,1,1,1,1,$79.00,1,2,1125,4,12,34,279,28,93,10,9,10,10,10,9,7,2.2
19140351,1,1,94118,37.7740877723945,-122.4715388295875,3,1,2,2,$275.00,1,3,1125,0,0,0,39,26,99,10,10,10,10,10,10,1,1.97
19144925,1,1,94103,37.78193489630214,-122.40887711551005,4,1,2,2,$250.00,1,30,1125,28,58,88,363,1,,,,,,,,1,0.16
19150623,6,6,94116,37.744778154188275,-122.48957147417612,6,2,3,4,$225.00,4,1,21,5,17,38,126,39,92,10,9,10,9,9,9,4,2.69
19157494,2,2,94109,37.801561840605665,-122.42429175822282,4,1.5,2,2,$197.00,1,62,1125,7,37,67,156,0,,,,,,,,1,
19159660,4,4,94116,37.74025057933354,-122.48501590225517,2,1.5,1,2,$75.00,1,2,31,0,0,0,0,3,80,10,10,9,10,9,9,4,0.24
19160639,4,4,94116,37.741076720533485,-122.48549096387784,2,2,1,2,$75.00,2,2,31,0,0,0,0,2,90,10,10,10,10,9,10,4,0.16
19160891,4,4,94116,37.741078205643284,-122.48337292777117,7,2,3,6,$225.00,6,1,14,0,0,0,0,25,94,10,10,10,10,9,9,4,2.09
19169144,1,1,94116,37.74534385981449,-122.4888987809022,2,1,1,1,$80.00,1,2,28,3,33,63,63,65,99,10,10,10,10,10,10,1,4.78
19169859,1,1,94107,37.76047385120902,-122.39449396987929,8,3,4,3,$399.00,1,30,90,23,53,83,358,1,100,10,10,10,10,10,10,1,1
19175066,47,47,94110,37.761578535325555,-122.41819583397036,2,1,1,1,$109.00,1,30,1125,0,0,6,281,5,90,10,9,10,10,9,8,42,0.44
19178420,33,33,94112,37.734673810714376,-122.42693710452305,4,1.5,3,2,$200.00,4,30,1125,30,60,90,365,0,,,,,,,,23,
19180151,2,2,94115,37.79469548767079,-122.43680926632918,6,2.5,3,4,"$1,100.00",1,30,90,16,41,62,337,3,100,10,10,10,10,10,9,1,0.69
19180222,1,1,94131,37.74747549689363,-122.43245006849546,2,1,1,1,$99.00,2,2,45,7,18,43,43,47,100,10,10,10,10,10,10,1,3.69
19182186,1,1,94114,37.76888246807104,-122.43279704594849,10,3,5,5,$599.00,1,30,1125,0,0,0,0,34,96,10,10,10,10,10,9,1,2.3
19194530,1,1,94124,37.71887633412301,-122.38914992029035,4,1,0,2,$71.00,2,2,30,4,4,16,16,61,96,10,10,10,10,9,10,1,4.02
19196925,1,1,94107,37.77898394668915,-122.40346861287159,4,2,2,2,$347.00,1,30,1125,29,59,89,178,8,97,10,10,10,10,10,9,1,0.59
19206648,4,4,94103,37.781434000418926,-122.41063650763628,2,8,1,1,$60.00,1,30,1125,30,60,90,365,2,80,8,9,10,10,7,8,4,0.16
