id,host_total_listings_count,longitude,accommodates,price,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
2956406,2,-122.4895361379539,2,$110.00,21,247,378,97,10,10,10,10,10,10,2,7.16
2959323,68,-122.41145768222721,4,$180.00,15,0,10,92,10,10,10,10,10,10,29,0.19
2960229,68,-122.4091901472494,4,$180.00,1,0,24,98,10,10,10,10,9,9,29,0.5
2965433,1,-122.41243237403137,4,$293.00,20,0,43,97,10,10,10,10,10,9,1,0.83
2965491,1,-122.51149998987212,6,$320.00,27,51,52,99,10,10,10,10,10,10,1,1.02
2968738,2,-122.44651674992734,6,$499.00,21,153,69,98,10,10,10,10,10,9,2,1.33
2970253,1,-122.4096352143024,1,$125.00,180,26,3,100,10,10,10,10,10,10,1,0.69
2980184,1,-122.47723423567737,6,$250.00,120,344,5,90,10,10,10,10,9,8,1,0.1
2980416,6,-122.42580054656273,1,$59.00,120,9,9,100,10,10,10,10,10,10,6,0.18
2980482,6,-122.42485954686484,1,$39.00,90,189,17,93,10,10,10,10,9,9,6,0.34
2984463,1,-122.42128977759768,2,$155.00,28,334,223,98,10,10,10,10,10,9,1,4.37
2987484,1,-122.41755307417264,8,$349.00,8,16,1,100,10,10,10,10,6,8,1,0.02
3006861,1,-122.45049589999788,4,$250.00,1125,44,8,90,10,9,10,10,10,9,1,0.16
3013427,4,-122.44626934965298,2,$140.00,240,102,54,97,10,10,10,10,10,10,4,1.03
3013520,4,-122.45099908024491,2,$55.00,360,163,21,84,10,8,10,9,9,9,3,0.41
3015450,1,-122.48691327304715,3,$87.00,1125,202,166,97,10,10,10,10,9,10,1,5.18
3028924,1,-122.41003887238104,1,$125.00,14,0,26,98,10,10,10,10,9,10,1,0.97
3029597,5,-122.43732193477008,1,$99.00,28,37,128,97,10,10,10,10,10,9,4,2.9
3030653,1,-122.42414923159042,2,$140.00,28,61,341,95,10,10,10,10,9,9,1,6.48
3031766,2,-122.46332211258309,7,$430.00,30,99,12,92,10,8,10,10,9,9,2,0.24
3042811,1,-122.42713003693557,2,$210.00,56,0,24,100,10,10,10,10,10,10,1,0.5
3043102,1,-122.50749556165917,4,$130.00,180,100,102,93,10,9,9,10,9,9,1,1.94
3047702,2,-122.443446439598,2,$120.00,1125,0,1,80,8,10,10,10,10,,2,0.03
3053443,4,-122.44421730389888,1,$95.00,1125,0,3,100,10,10,10,10,9,10,4,0.16
3068285,32,-122.39957694307763,2,$127.00,1125,365,0,,,,,,,,32,
3073038,2,-122.44084421077184,2,$145.00,29,115,63,98,10,10,10,10,10,9,1,1.24
3073393,1,-122.42463652839972,6,$405.00,1125,35,127,93,10,9,10,9,10,9,1,2.51
3079665,5,-122.42540661068968,2,$145.00,120,162,36,95,10,10,10,10,10,9,2,0.69
3079929,4,-122.42387482731611,6,$375.00,15,176,22,100,10,10,10,10,10,10,2,0.55
3081324,1,-122.43129297767359,10,$450.00,90,97,97,93,9,9,10,10,9,9,1,1.88
3081560,1,-122.42154084523384,2,$150.00,120,281,143,100,10,10,10,10,10,10,1,3
3082327,2,-122.48891417513452,1,$90.00,21,247,323,97,10,10,10,10,9,10,2,6.17
3084671,1,-122.42151299463204,5,$295.00,11,0,7,100,10,10,10,10,10,10,1,0.13
3085195,1,-122.43320205933908,2,$90.00,125,80,77,95,10,10,10,9,10,9,1,1.49
3093070,6,-122.40862557798096,6,$275.00,60,304,7,94,10,9,10,10,10,9,4,0.36
3093543,2,-122.4764220361683,2,$105.00,25,350,208,97,10,10,10,10,10,10,1,3.97
3096080,2,-122.42287109475363,3,$210.00,29,122,31,99,10,10,10,10,10,10,1,0.59
3102139,1,-122.43227152004933,6,$650.00,7,47,7,100,10,10,10,10,10,10,1,2.76
3105361,1,-122.43124596762833,4,$225.00,29,0,42,95,10,9,10,10,10,9,1,0.82
3105998,2,-122.41593394221158,2,$225.00,1125,0,18,99,10,10,10,10,10,9,2,0.35
3112427,1,-122.50469288585819,2,$125.00,1125,302,105,97,10,10,10,10,9,9,1,2.06
3114387,5,-122.48645506784034,6,$200.00,1125,260,101,94,10,10,10,10,9,10,2,1.93
3116428,2,-122.43608138656066,3,$200.00,1125,0,20,96,10,10,10,10,10,9,1,0.39
3116974,1,-122.41182672783961,4,$185.00,180,250,112,99,10,10,10,10,10,10,1,2.22
3122882,1,-122.44607636391294,2,$140.00,30,142,122,99,10,10,10,10,10,10,1,2.34
3123536,1,-122.40750340605808,4,$250.00,60,4,88,98,10,10,10,10,9,10,1,1.69
3124541,1,-122.44353917555173,2,$148.00,28,224,223,98,10,10,10,10,10,10,1,4.3
3133266,3,-122.44890171699488,8,$290.00,360,364,59,98,10,10,10,10,10,9,3,1.15
3133434,3,-122.44860607961907,15,$600.00,360,364,19,99,10,10,10,10,10,10,3,0.39
3157463,1,-122.48234266479822,4,$375.00,28,336,16,99,10,10,10,10,10,10,1,0.32
3157541,1,-122.43876680070915,2,$125.00,90,289,115,96,10,10,10,10,10,9,1,2.23
3168359,1,-122.50963522313913,4,$155.00,29,200,198,96,10,10,10,10,10,9,1,4.03
